Team ID , Team  , Region , Country , Track , Section , Size , Status
2020,Aachen,Europe,Germany,,Overgrad,21,Accepted
1907,Aalto-Helsinki,Europe,Finland,,Overgrad,13,Accepted
2044,AHUT_China,Asia,China,,Undergrad,18,Accepted
1917,Ain_Shams-Egypt,Africa,Egypt,,Undergrad,17,Accepted
1951,Aix-Marseille,Europe,France,,Overgrad,20,Accepted
2145,Alverno_CA,North America,United States,,High_school,16,Accepted
2033,Arizona_State,North America,United States,,Undergrad,12,Accepted
1885,ASIJ_Tokyo,Asia,Japan,,High_school,25,Accepted
2058,ATOMS_Turkiye,Europe,Turkey,,Undergrad,31,Accepted
2059,AUC_TURKEY,Europe,Turkey,,High_school,12,Accepted
2097,Austin_UTexas,North America,United States,,Undergrad,20,Accepted
2098,Austin_UTexas_LASA,North America,United States,,High_school,12,Accepted
2026,BGIC_China,Asia,China,,High_school,20,Accepted
2091,BGU_ISRAEL,Europe,Israel,,Overgrad,16,Accepted
1971,BHU_China,Asia,China,,High_school,14,Accepted
2082,Bielefeld-CeBiTec,Europe,Germany,,Overgrad,15,Accepted
1946,Bilkent-UNAMBG,Europe,Turkey,,Undergrad,9,Accepted
2133,BioBricks,North America,United States,,Overgrad,4,Accepted
2004,BIOSINT_Mexico,Latin America,Mexico,,Undergrad,9,Accepted
2041,BIT,Asia,China,,Undergrad,15,Accepted
2120,BIT-China,Asia,China,,Undergrad,27,Accepted
2028,BNDS_China,Asia,China,,High_school,1,Accepted
1891,BNU-China,Asia,China,,Undergrad,26,Accepted
1935,Bordeaux,Europe,France,,Overgrad,28,Accepted
1875,BostonU,North America,United States,,Undergrad,10,Accepted
1876,BostonU_HW,North America,United States,,Undergrad,11,Accepted
2139,British_Columbia,North America,Canada,,Undergrad,7,Accepted
2185,BroadRun-Baltimore,North America,United States,,High_school,1,Pending
2038,BroadRun-NorthernVA,North America,United States,,High_school,1,Deleted
2171,Bulgaria,Europe,Bulgaria,,Undergrad,9,Accepted
2148,Cambridge-JIC,Europe,United Kingdom,,Overgrad,12,Accepted
2186,CAPS_Kansas,North America,United States,,High_school,1,Pending
2060,Cardiff_Wales,Europe,United Kingdom,,Undergrad,10,Accepted
2103,CCA_SanDiego,North America,United States,,High_school,16,Accepted
