Year	Page	PageView
2012	Main Page	416791
2012	Wiki/	99931
2012	Team:Groningen	54482
2012	Team:TU Munich/Notebook/Labjournal	46598
2012	Jamborees	46291
2012	Team:Tec-Monterrey	44505
2012	Team:Calgary	31939
2012	Regions/Europe/Jamboree	31032
2012	Team:Slovenia	30254
2012	Team:University College London	30103
2012	Team:Bielefeld-Germany/Labjournal	28378
2012	World Championship Jamboree	27295
2012	Team:TU Darmstadt/Labjournal/Degradation	26920
2012	Regions/Asia/Jamboree	26290
2012	Team:LMU-Munich	24244
2012	Team:OUC-China	23077
2012	Team:TU-Delft	22567
2012	Calendar of Events	22324
2012	Team:Bielefeld-Germany	21652
2012	Team:Berkeley	21071
2012	Team:Peking	20648
2012	Team:Kyoto/Project	20545
2012	IGEM Publicity	20084
2012	Team:Paris Bettencourt	20057
2012	Team:Stanford-Brown	19961
2012	Community	19850
2012	Team:Penn	19516
2012	Team:Cambridge	19305
2012	Team:Wageningen UR	18796
2012	Team:Bielefeld-Germany/Results/Summary	18633
2012	Team:Freiburg	18438
2012	Team:MIT	18355
2012	Team:Evry	18051
2012	Team:Cornell	18036
2012	Team:TU Munich	17878
2012	Team:Tokyo Tech	17789
2012	Safety	17585
2012	Team:Austin Texas	16457
2012	Requirements	16106
2012	Team:St Andrews	15916
2012	Team:Colombia/Team	15772
2012	Team:Uppsala University	15481
2012	Team:UC Chile	15442
2012	Team:UNITN-Trento	15075
2012	Team:WashU	15054
2012	Team:Valencia Biocampus	14774
2012	Team:Carnegie Mellon	14756
2012	Team:Slovenia/SafetyMechanismsMicrocapsuleDegradation	14582
2012	Team:Lyon-INSA	14481
2012	Team:Freiburg/Project/Golden	14477
2012	Team:BostonU	14442
2012	Team:Kyoto	14150
2012	Team:TU Munich/Project/Overview	14124
2012	Team:Queens Canada	13719
2012	Team:Edinburgh	13640
2012	Team:TU-Delft/CSS	13628
2012	Team:Wisconsin-Madison	13289
2012	Team:Dundee	13172
2012	Team:UC Davis	13098
2012	Team:SJTU-BioX-Shanghai	12788
2012	Team:CU-Boulder	12740
2012	Team:TU Munich/Project/Limonene	12606
2012	Team:Fudan D	12407
2012	Team:Goettingen	12252
2012	Team:Colombia	12122
2012	Team:Potsdam Bioware	12117
2012	Team:Exeter	12077
2012	Team:Evry/Team	11958
2012	Sponsors	11928
2012	Team:WHU-China	11750
2012	Team:HKUST-Hong Kong	11648
2012	Team:TU Munich/Project/Caffeine	11641
2012	Team:MIT/Team	11500
2012	Team:Nevada	11381
2012	Team:Austin Texas/Caffeinated coli	11327
2012	Team:RHIT	11323
2012	Regions/Latin America/Jamboree	11296
2012	Team:Groningen/Project	11294
2012	Team:Arizona State	11129
2012	Team:XMU-China	11024
2012	Judging	11014
2012	Team:UIUC-Illinois	10715
2012	Team:Johns Hopkins-Software	10673
2012	Team:WashU/FBA	10584
2012	Team:Utah State/Project	10560
